0,0
3625,2030.0,0.0,0.000,0.271,0.302,0,0
3645,2040.0,0.0,0.000,0.298,0.301,0,0
3665,2050.0,0.0,0.000,0.377,0.320,0,0
3685,2060.0,0.0,0.000,0.639,0.400,0,0
3705,2065.0,0.0,0.000,0.190,0.347,0,0
3725,2070.0,0.0,0.000,0.262,0.326,0,0
3745,2080.0,0.0,0.000,0.786,0.441,0,0
3765,2080.0,0.0,0.000,0.190,0.378,0,0
3785,2090.0,0.0,0.000,0.908,0.511,0,0
3805,2090.0,0.0,0.000,0.196,0.432,0,0
3825,2090.0,0.0,0.000,0.110,0.351,0,0
3845,2100.0,0.0,0.000,0.491,0.386,0,0
3865,2100.0,0.0,0.000,0.166,0.331,0,0
3885,2100.0,0.0,0.000,0.100,0.273,0,0
3905,2100.0,0.0,0.000,0.071,0.223,0,0
3925,2100.0,0.0,0.000,0.055,0.181,0,0
3945,2100.0,0.0,0.000,0.045,0.147,0,0
3965,2100.0,0.0,0.000,0.038,0.120,0,0
3985,2100.0,0.0,0.000,0.033,0.098,0,0
4006,2100.0,0.0,0.000,0.029,0.081,0,0
4026,2100.0,0.0,0.000,0.026,0.067,0,0
